Till chefen för Utbildnings- och kulturdepartementet;Genom//PP//case//1 regeringsbeslut//NN|NEU|SIN|IND|NOM//obl//6 den//DT|UTR|SIN|DEF//det//4 8//RO|NOM//nummod//4 juni//NN|UTR|SIN|IND|NOM//obl//6 2000//RG|NOM//nummod//4 bemyndigades//VB|PRT|SFO//ROOT//6 chefen//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 för//PP//case//9 Kulturdepartementet//NN|NEU|SIN|DEF|NOM//nmod//7 att//IE//mark//11 tillkalla//VB|INF|AKT//xcomp//6 en//DT|UTR|SIN|IND//det//14 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//14 utredare//NN|UTR|SIN|IND|NOM//obj//11 med//PP//case//16 uppdrag//NN|NEU|SIN|IND|NOM//obl//11 att//IE//mark//18 analysera//VB|INF|AKT//acl//16 och//KN//cc//20 överväga//VB|INF|AKT//conj//18 behovet//NN|NEU|SIN|DEF|NOM//obj//20 av//PP//case//23 ändringar//NN|UTR|PLU|IND|NOM//nmod//21 i//PP//case//27 framför//PP//case//27 allt//PN|NEU|SIN|IND|SUB/OBJ//det//27 radio-//NN|UTR|-|-|SMS//obl//18 och//KN//cc//29 TV-lagen//NN|UTR|SIN|DEF|NOM//conj//27 (//PAD//punct//31 1996:844//RG|NOM//appos//11 )//PAD//punct//31 och//KN//cc//34 lagen//NN|UTR|SIN|DEF|NOM//conj//31 (//PAD//punct//36 1989:41//RG|NOM//appos//34 )//PAD//punct//36 om//PP//case//39 TV-avgift//NN|UTR|SIN|IND|NOM//obl//11 samt//KN//cc//41 föreslå//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//43 lagändringar//NN|UTR|PLU|IND|NOM//obj//41 som//HP|-|-|-//nsubj:pass//45 föranleds//VB|PRS|SFO//acl:relcl//43 av//PP//case//47 övervägandena//NN|NEU|PLU|DEF|NOM//obl:agent//45 (//PAD//punct//47 Dir//NN|AN//appos//47 .//MAD//punct//47
Till chefen för Utbildnings- och kulturdepartementet;2000:43//RG|NOM//obl//41 )//PAD//punct//41 .//MAD//punct//6
Till chefen för Utbildnings- och kulturdepartementet;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//9 ,//MID//punct//0 som//HP|-|-|-//nsubj//3 antog//VB|PRT|AKT//acl:relcl//0 namnet//NN|NEU|SIN|DEF|NOM//nmod//5 Radio-//NN|UTR|-|-|SMS//obj//3 och//KN//cc//7 TV-lagsutredningen//NN|UTR|SIN|DEF|NOM//conj//5 ,//MID//punct//0 överlämnade//VB|PRT|AKT//ROOT//9 i//PP//case//11 oktober//NN|UTR|SIN|IND|NOM//obl//9 2001//RG|NOM//nummod//11 delbetänkandet//NN|NEU|SIN|DEF|NOM//obj//9 Skydd//NN|NEU|SIN|IND|NOM//obj//9 av//PP//case//16 barn//NN|NEU|PLU|IND|NOM//nmod//14 mot//PP//case//19 olämpligt//JJ|POS|NEU|SIN|IND|NOM//amod//19 programinnehåll//NN|NEU|SIN|IND|NOM//nmod//16 i//PP//case//21 TV//NN|UTR|SIN|IND|NOM//nmod//19 ,//MID//punct//23 SOU//PM|NOM//conj//14 2001:84//RG|NOM//nummod//23 .//MAD//punct//9
Till chefen för Utbildnings- och kulturdepartementet;Därefter//AB//advmod//27 entledigades//VB|PRT|SFO//conj//9 på//PP//case//30 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//30 begäran//NN|UTR|SIN|IND|NOM//obl//27 den//DT|UTR|SIN|DEF//det//33 särskilde//PC|PRF|MAS|SIN|DEF|NOM//amod//33 utredaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//27 liksom//PP//mark//35 experter//NN|UTR|PLU|IND|NOM//nmod//33 och//KN//cc//37 sekreterare//NN|UTR|PLU|IND|NOM//conj//35 .//MAD//punct//9
Till chefen för Utbildnings- och kulturdepartementet;Från//PP//case//5 och//KN//fixed//0 med//PP//fixed//0 den//DT|UTR|SIN|DEF//det//5 1//RO|NOM//nummod//5 februari//NN|UTR|SIN|IND|NOM//obl//7 2003//RG|NOM//nummod//5 förordnades//VB|PRT|SFO//ROOT//7 hovrättsrådet//NN|NEU|SIN|DEF|NOM//nsubj:pass//7 ,//MID//punct//11 vice//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nmod//11 ordförande//NN|UTR|SIN|IND|NOM//conj//8 ,//MID//punct//11 Roberth//PM|NOM//nmod//14 Nordh//PM|NOM//nsubj:pass//7 att//IE//mark//18 vara//VB|INF|AKT//cop//18 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//18 utredare//NN|UTR|SIN|IND|NOM//xcomp//7 .//MAD//punct//7
Till chefen för Utbildnings- och kulturdepartementet;I//PP//case//1 arbetet//NN|NEU|SIN|DEF|NOM//obl//8 med//PP//case//4 detta//DT|NEU|SIN|DEF//det//4 delbetänkande//NN|NEU|SIN|IND|NOM//nmod//1 har//VB|PRS|AKT//aux//8 som//KN//mark//7 experter//NN|UTR|PLU|IND|NOM//nsubj//8 deltagit//VB|SUP|AKT//ROOT//8 departementssekreteraren//NN|UTR|SIN|DEF|NOM//nmod//10 Ingolf//PM|NOM//nsubj//8 Berg//PM|NOM//flat:name//10 ,//MID//punct//10 rättssakkunniga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//14 Helena//PM|NOM//nsubj//51 Forsaeus//PM|NOM//flat//14 ,//MID//punct//14 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Magnus//PM|NOM//appos//14 Larsson//PM|NOM//flat:name//18 ,//MID//punct//18 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//22 Eva//PM|NOM//conj//14 Lisskar-Dahlgren//PM|NOM//flat:name//22 ,//MID//punct//22 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//26 Lars//PM|NOM//conj//14 Marén//PM|NOM//flat:name//26 ,//MID//punct//30 direktören//NN|UTR|SIN|DEF|NOM//nmod//30 Cecilia//PM|NOM//conj//14 Renfors//PM|NOM//flat//30 ,//MID//punct//30 chefsjuristen//NN|UTR|SIN|DEF|NOM//nmod//34 Peter//PM|NOM//conj//14 Schierbeck//PM|NOM//flat:name//34 ,//MID//punct//34 rådmannen//NN|UTR|SIN|DEF|NOM//nmod//38 Helen//PM|NOM//appos//14 Svensson//PM|NOM//flat:name//38 och//KN//cc//42 ämnesrådet//NN|NEU|SIN|DEF|NOM//nmod//42 Karin//PM|NOM//conj//14 Wistrand//PM|NOM//flat:name//42 .//MAD//punct//14
Till chefen för Utbildnings- och kulturdepartementet;Genom//PP//case//46 beslut//NN|NEU|SIN|IND|NOM//obl//51 den//DT|UTR|SIN|DEF//det//49 29//RG|NOM//nummod//49 september//NN|UTR|SIN|IND|NOM//obl//51 2004//RG|NOM//nummod//49 entledigades//VB|PRT|SFO//parataxis//8 Helen//PM|NOM//nsubj:pass//51 Svensson//PM|NOM//flat:name//52 med//PP//case//55 verkan//NN|UTR|SIN|IND|NOM//obl//51 fr.o.m.//AB|AN//case//60 den//DT|UTR|SIN|DEF//det//59 1//RO|NOM//nummod//59 oktober//NN|UTR|SIN|IND|NOM//nmod//60 2004//RG|NOM//obl//51 och//KN//cc//68 genom//PP//case//63 beslut//NN|NEU|SIN|IND|NOM//obl//68 den//DT|UTR|SIN|DEF//det//66 15//RG|NOM//nummod//66 mars//NN|UTR|SIN|IND|NOM//obl//68 2005//RG|NOM//nummod//66 entledigades//VB|PRT|SFO//conj//51 Helena//PM|NOM//nmod//70 Forsaeus//PM|NOM//nsubj:pass//68 med//PP//case//72 verkan//NN|UTR|SIN|IND|NOM//obl//68 fr.o.m.//AB|AN//case//68 den//DT|UTR|SIN|DEF//det//76 1//RO|NOM//nummod//76 mars//NN|UTR|SIN|IND|NOM//fixed//73 2005//RG|NOM//nummod//76 från//PP//case//80 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//80 uppdrag//NN|NEU|PLU|IND|NOM//obl//73 .//MAD//punct//8
Till chefen för Utbildnings- och kulturdepartementet;Hovrättsassessorn//NN|UTR|SIN|DEF|NOM//obj//3 Katarina//PM|NOM//nsubj//3 Kölfors//PM|NOM//flat:name//1 har//VB|PRS|AKT//ROOT//3 sedan//PP//advmod//3 den//DT|UTR|SIN|DEF//det//7 1//RO|NOM//nummod//7 februari//NN|UTR|SIN|IND|NOM//obl//3 2003//RG|NOM//nummod//7 varit//VB|SUP|AKT//cop//11 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//11 sekreterare//NN|UTR|SIN|IND|NOM//obj//3 .//MAD//punct//3
Till chefen för Utbildnings- och kulturdepartementet;Enligt//PP//case//1 tilläggsdirektiv//NN|NEU|PLU|IND|NOM//obl//9 (//PAD//punct//1 Dir//NN|AN//appos//1 .//MAD//punct//1
Till chefen för Utbildnings- och kulturdepartementet;2001:11//RG|NOM//nmod//1 )//PAD//punct//1 skulle//VB|PRT|AKT//aux//9 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//9 redovisat//VB|SUP|AKT//ROOT//9 sitt//PS|NEU|SIN|DEF//nmod:poss//11 arbete//NN|NEU|SIN|IND|NOM//obj//9 senast//AB|SUV//case//15 den//DT|UTR|SIN|DEF//det//15 31//RG|NOM//nummod//15 maj//NN|UTR|SIN|IND|NOM//obl//9 2002//RG|NOM//nummod//15 .//MAD//punct//9
