Maktdelning (1);Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 forskarvolym//NN|NEU|SIN|IND|NOM//ROOT//1 I//RG|NOM//case//1
Maktdelning (1);SOU//PM|NOM//nsubj:pass//10 och//KN//cc//2 Ds//PM|NOM//conj//0 som//HP|-|-|-//nsubj//4 ingår//VB|PRS|AKT//acl:relcl//2 i//PP//case//8 1999//RG|NOM//nummod//7 års//NN|NEU|SIN|IND|GEN//nmod:poss//8 nummerserie//NN|UTR|SIN|IND|NOM//obl//4 kan//VB|PRS|AKT//aux//10 köpas//VB|INF|SFO//ROOT//10 från//PP//case//13 Fakta//NN|NEU|SIN|IND|NOM//nmod//13 Info//PM|NOM//obl//10 Direkt//AB|POS//advmod//10 .//MAD//punct//10

Förord;Ett//PN|NEU|SIN|IND|SUB/OBJ//nsubj//6 av//PP//case//3 Demokratiutredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//3 uppdrag//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//0 att//IE//mark//6 summera//VB|INF|AKT//ROOT//6 och//KN//cc//8 värdera//VB|INF|AKT//conj//6 de//DT|UTR/NEU|PLU|DEF//det//11 senaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//11 årens//NN|NEU|PLU|DEF|GEN//nmod:poss//12 demokratiutredningar//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//14 demokratiforskning//NN|UTR|SIN|IND|NOM//conj//12 ,//MID//punct//17 ett//DT|NEU|SIN|IND//det//17 annat//JJ|POS|NEU|SIN|IND|NOM//conj//12 att//IE//mark//19 stimulera//VB|INF|AKT//acl//17 det//DT|NEU|SIN|DEF//det//22 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//22 samtalet//NN|NEU|SIN|DEF|NOM//obj//19 om//PP//case//24 demokratin//NN|UTR|SIN|DEF|NOM//obl//19 .//MAD//punct//6
Förord;Av//PP//case//28 de//DT|UTR/NEU|PLU|DEF//det//28 skälen//NN|NEU|PLU|DEF|NOM//obl//33 har//VB|PRS|AKT//aux//33 redan//AB//advmod//33 åtskilliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 demokratiforskare//NN|UTR|PLU|IND|NOM//nsubj//33 medverkat//VB|SUP|AKT//parataxis//6 på//PP//case//36 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//36 temaseminarier//NN|NEU|PLU|IND|NOM//obl//33 runtom//AB//obl//33 i//PP//case//39 landet//NN|NEU|SIN|DEF|NOM//obl//33 liksom//PP//mark//42 i//PP//case//42 flera//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//33 av//PP//case//46 våra//PS|UTR/NEU|PLU|DEF//nmod:poss//46 debattorienterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//46 småskrifter//NN|UTR|PLU|IND|NOM//nmod//42 .//MAD//punct//6
Förord;Av//PP//case//50 de//DT|UTR/NEU|PLU|DEF//det//50 skälen//NN|NEU|PLU|DEF|NOM//obl//56 har//VB|PRS|AKT//aux//56 också//AB//advmod//56 den//DT|UTR|SIN|DEF//det//55 här//AB//fixed//53 boken//NN|UTR|SIN|DEF|NOM//nsubj//56 kommit//VB|SUP|AKT//parataxis//6 till//PL//compound:prt//56 .//MAD//punct//6
Förord;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//4 här//AB//fixed//0 är//VB|PRS|AKT//cop//4 den//DT|UTR|SIN|DEF//det//4 första//RO|NOM//ROOT//4 av//PP//case//7 tretton//RG|NOM//nummod//7 böcker//NN|UTR|PLU|IND|NOM//nmod//4 där//HA//advmod//19 drygt//AB|POS//advmod//12 ett//DT|NEU|SIN|IND//det//12 hundra//RG|NOM//nummod//12 forskare//NN|UTR|PLU|IND|NOM//nsubj//19 inom//PP//case//14 samhällsvetenskap//NN|UTR|SIN|IND|NOM//nmod//12 och//KN//cc//16 humaniora//NN|UTR|SIN|IND|NOM//conj//14 kommer//VB|PRS|AKT//aux//19 att//IE//mark//19 belysa//VB|INF|AKT//acl:relcl//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 aspekter//NN|UTR|PLU|IND|NOM//obj//19 av//PP//case//26 den//DT|UTR|SIN|DEF//det//25 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//25 folkstyrelsens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 utveckling//NN|UTR|SIN|IND|NOM//nmod//21 .//MAD//punct//4
Förord;Författarna//NN|UTR|PLU|DEF|NOM//nsubj//30 är//VB|PRS|AKT//cop//30 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//4 inom//PP//case//35 drygt//AB|POS//advmod//33 tio//RG|NOM//nummod//35 vetenskapliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 ämnesområden//NN|NEU|PLU|IND|NOM//obl//30 .//MAD//punct//30
Förord;Artiklarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//39 vetenskapliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//39 kvalitet//NN|UTR|SIN|IND|NOM//nsubj:pass//42 har//VB|PRS|AKT//aux//42 vanligtvis//AB//advmod//42 säkerställts//VB|SUP|SFO//conj//30 genom//PP//mark//47 att//SN//mark//47 författarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//46 kollegor//NN|UTR|PLU|IND|NOM//nsubj//47 granskat//VB|SUP|AKT//advcl//42 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//47 inom//PP//case//54 ramen//NN|UTR|SIN|DEF|NOM//fixed//49 för//PP//fixed//49 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//53 institutioners//NN|UTR|PLU|IND|GEN//nmod:poss//54 forskarseminarier//NN|NEU|PLU|IND|NOM//obl//47 .//MAD//punct//30
Förord;Forskarvolymerna//NN|UTR|PLU|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 tillkommit//VB|SUP|AKT//ROOT//2 efter//PP//case//5 en//DT|UTR|SIN|IND//det//5 genomgång//NN|UTR|SIN|IND|NOM//obl//2 av//PP//case//9 den//DT|UTR|SIN|DEF//det//9 demokratirelevanta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 forskning//NN|UTR|SIN|IND|NOM//nmod//5 som//HP|-|-|-//nsubj//11 pågår//VB|PRS|AKT//acl:relcl//9 på//PP//case//13 universitet//NN|NEU|PLU|IND|NOM//obl//11 och//KN//cc//15 högskolor//NN|UTR|PLU|IND|NOM//conj//13 .//MAD//punct//2
Förord;En//DT|UTR|SIN|IND//det//18 del//NN|UTR|SIN|IND|NOM//nmod//19 forskare//NN|UTR|PLU|IND|NOM//nsubj//21 har//VB|PRS|AKT//aux//21 ombetts//VB|SUP|SFO//parataxis//2 att//IE//mark//23 redovisa//VB|INF|AKT//advcl//21 forskningsläget//NN|NEU|SIN|DEF|NOM//obj//23 jämte//PP//case//33 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//33 egna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 ,//MID//punct//29 pågående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//27 eller//KN//cc//32 nyligen//AB//advmod//32 avslutade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//conj//27 studier//NN|UTR|PLU|IND|NOM//obl//23 .//MAD//punct//2
Förord;Andra//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//37 har//VB|PRS|AKT//aux//37 fått//VB|SUP|AKT//conj//2 uppdraget//NN|NEU|SIN|DEF|NOM//obj//37 att//IE//mark//40 genomföra//VB|INF|AKT//xcomp//37 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 studier//NN|UTR|PLU|IND|NOM//obj//40 inom//PP//case//44 områden//NN|NEU|PLU|IND|NOM//obl//40 som//HP|-|-|-//obl//47 forskningen//NN|UTR|SIN|DEF|NOM//nsubj//47 eftersatt//VB|SUP|AKT//acl:relcl//44 men//KN//cc//51 som//HP|-|-|-//obl//51 Demokratiutredningen//NN|UTR|SIN|DEF|NOM//nsubj//51 behöver//VB|PRS|AKT//conj//47 kunskap//NN|UTR|SIN|IND|NOM//obj//51 om//PP//case//49 .//MAD//punct//55
Förord;Tack//NN|NEU|SIN|IND|NOM//mark//64 vare//VB|KON|PRS|AKT//mark//61 att//SN//mark//61 nästan//AB//advmod//61 alla//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//61 också//AB//advmod//61 lämnat//VB|SUP|AKT//advcl//64 ett//DT|NEU|SIN|IND//det//63 bidrag//NN|NEU|SIN|IND|NOM//obj//61 har//VB|PRS|AKT//advcl//101 denna//DT|UTR|SIN|DEF//det//73 breda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//73 ,//MID//punct//66 om//AB//mark//73 än//AB//case//73 långt//AB|POS//advmod//73 ifrån//PP//case//73 fullständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 exponering//NN|UTR|SIN|IND|NOM//obj//64 av//PP//case//77 vår//PS|UTR|SIN|DEF//nmod:poss//77 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//77 kunskap//NN|UTR|SIN|IND|NOM//nmod//73 om//PP//mark//80 demokratin//NN|UTR|SIN|DEF|NOM//nsubj//80 blivit//VB|SUP|AKT//advcl//73 möjlig//JJ|POS|UTR|SIN|IND|NOM//xcomp//80 .//MID//punct//64
